code,x,y,transition
1,1373,317,1
2,1221,83,1
3,681,79,3
4,1087,357,2
5,833,351,2
6,505,353,4
7,237,319,5
8,237,689,9
9,237,1047,9
10,1229,711,1
11,843,635,6
12,583,631,6
13,1585,993,8
14,1311,999,10
15,883,1001,7
16,625,999,7
