code,x,y,transition1,transition2,transition3,transition4
1,1225,265,1,2,0,0
2,779,185,2,3,0,0
3,1297,813,1,7,0,0
4,343,287,4,2,0,0
5,293,547,4,5,0,0
6,1219,593,5,1,0,0
7,323,639,5,6,0,0
8,429,905,6,7,0,0
