code,x,y,transition
1,1753,751,1
2,1373,317,1
3,1221,83,3
4,681,79,3
5,1087,357,2
6,833,351,2
7,505,353,4
8,237,319,5
9,237,689,9
10,237,1047,9
11,1229,711,1
12,843,635,6
13,583,631,6
14,1585,993,8
15,1311,999,10
16,883,1001,7
17,625,999,7
